slug,name,cluster,task1_issue,task2_issue,task3a_issue,task3b_issue,status,notes
erugo,Erugo,Standalone,2707,2745,2744,,done,"batch 9 done, 0 errors"
flagsmith,Flagsmith,Standalone,2708,2747,2746,,done,"batch 9 done, 0 errors"
glpi,GLPI,Standalone,2709,2749,2748,,done,"batch 9 done, 0 errors"
hedgedoc,HedgeDoc,Standalone,2665,2684,2683,,done,"batch 7 done, 0 errors"
hievents,Hi.Events,Standalone,2710,2751,2750,,done,"no usable logo found (confirmed exhausted, checked selfhst too)"
homarr,Homarr,Standalone,2533,2553,2543,2572,done,"confirmed done, verified with af-validate earlier"
infisical,Infisical,Standalone,2711,2753,2752,,done,logo fixed - waterfall shadowing bug found and fixed (3d34de06)
listmonk,Listmonk,Standalone,2712,2755,2754,,done,"batch 9 done, 0 errors"
donetick,Donetick,Standalone,2713,2757,2756,,done,"batch 9 done, 0 errors"
mealie,Mealie,Standalone,2714,2759,2758,,done,"batch 9 done, 0 errors"
opencloud,OpenCloud,Storage,2663,2680,2679,,done,"batch 7 done, 0 errors"
open-notebook,Open Notebook,Notebook/dev env,2690,2699,2698,,done,"batch 8 done, 0 errors"
openpanel,OpenPanel,Standalone,2715,2761,2760,,done,"batch 9 done, 0 errors"
openproject,OpenProject,Kanban-adjacent,2531,2551,2541,2570,done,"confirmed done, verified with af-validate earlier"
plik,Plik,Standalone,2716,2763,2762,,done,"no usable logo found (confirmed exhausted, checked selfhst too)"
sure,Sure,Finance,2689,2697,2696,,done,"batch 8 done, 0 errors"
wealthfolio,Wealthfolio,Finance,2613,2631,2630,,done,batch 6 done
sftpgo,SFTPGo,Storage,2691,2701,2700,,done,"batch 8 done, 0 errors"
vikunja,Vikunja,Kanban,2498,2518,2508,2557,done,confirmed done (batch 2)
redmine,Redmine,Kanban,2598,2606,2605,,done,batch 5 done
redaxo,REDAXO,CMS,2615,2635,2634,,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
strapi,Strapi,CMS,2593,2595,2594,,done,"done - task3 hit missing-requires bug (11 retries, self-healed by supervisor), now fixed for future dispatches"
squidex,Squidex,CMS,2688,2695,2694,,done,"batch 8 done, 0 errors"
radarr,Radarr,Media library,2579,2589,2584,,done,"confirmed done, verified with af-validate earlier"
sonarr,Sonarr,Media library,2612,2629,2628,,done,batch 6 done
qbittorrent,qBittorrent,Media library,2664,2682,2681,,done,"batch 7 done, 0 errors"
watcharr,Watcharr,Media library,2717,2765,2764,,done,"batch 9 done, 0 errors"
plausible-analytics,Plausible Analytics,Analytics,2600,2610,2609,,done,batch 5 done
umami-analytics,Umami Analytics,Analytics,2501,2521,2511,2560,done,confirmed done (batch 2)
penpot,Penpot,Standalone,2623,2651,2650,,done,batch 6 done
tandoor-recipes,Tandoor Recipes,Standalone,2718,2767,2766,,done,"batch 9 done, 0 errors"
stirling-pdf,Stirling PDF,Standalone,2719,2769,2768,,done,"batch 9 done, 0 errors"
snapotter,SnapOtter,Standalone,2720,2771,2770,,done,"no usable logo found (confirmed exhausted, checked selfhst too)"
reactive-resume,Reactive Resume,Standalone,2721,2773,2772,,done,"batch 9 done, 0 errors"
readeck,Readeck,Standalone,2722,2775,2774,,done,"batch 9 done, 0 errors"
silverbullet,SilverBullet,Standalone,2666,2686,2685,,done,"batch 7 done, 0 errors"
siyuan,SiYuan,Standalone,2723,2777,2776,,done,"batch 9 done, 0 errors"
teable,Teable,Standalone,2724,2779,2778,,done,"batch 9 done, 0 errors"
twenty,Twenty,Standalone,2625,2655,2654,,done,batch 6 done
wbo,WBO,Standalone,2725,2781,2780,,done,"batch 9 done, 0 errors"
wikijs,Wiki.js,Standalone,2624,2653,2652,,done,batch 6 done
wordpress,WordPress,CMS,2496,2516,2506,2556,done,confirmed done (batch 2)
yucca,Yucca,Standalone,2726,2783,2782,,done,"batch 9 done, 0 errors"
zabbix,Zabbix,Monitoring,2581,2591,2586,,done,"confirmed done, verified with af-validate earlier"
an-otter-wiki,An Otter Wiki,Wiki,2658,2670,2669,,done,"batch 7 done, 0 errors"
bookstack,BookStack,Wiki,2499,2519,2509,2558,done,confirmed done (batch 2)
docmost,Docmost,Wiki,2599,2608,2607,,done,batch 5 done
grav,Grav,Wiki,2618,2641,2640,,done,batch 6 done
aureuserp,AureusERP,Finance-adjacent (ERP),2659,2672,2671,,done,"batch 7 done, 0 errors"
bigcapital,Bigcapital,Finance-adjacent (ERP),2687,2693,2692,,done,"batch 8 done, 0 errors"
odoo,Odoo,Finance-adjacent (ERP),2616,2637,2636,,done,batch 6 done
budibase,Budibase,Standalone,2727,2785,2784,,done,"batch 9 done, 0 errors"
dify,Dify,AI tooling,2582,2592,2587,,done,"confirmed done, verified with af-validate earlier"
docuseal,DocuSeal,Standalone,2728,2787,2786,,done,"batch 9 done, 0 errors"
ghost,Ghost,CMS,2497,2517,2507,2575,done,confirmed done (batch 2)
jenkins,Jenkins,Standalone,2535,2555,2545,2574,done,"confirmed done, verified with af-validate earlier"
krayin-crm,Krayin CRM,Standalone,2729,2789,2788,,done,"batch 9 done, 0 errors"
onetimesecret,OneTimeSecret,Standalone,2730,2791,2790,,done,"batch 9 done, 0 errors"
owncloud,ownCloud,Storage,2611,2627,2626,,done,af-validate false-positive on port 9200 (hardcoded as ES port) - accepted
oxicloud,OxiCloud,Storage,2731,2793,2792,,done,"batch 9 done, 0 errors"
postiz,Postiz,Standalone,2732,2795,2794,,done,"batch 9 done, 0 errors"
rustdesk,RustDesk,Standalone,2733,2797,2796,,done,"batch 9 done, 0 errors"
searxng,SearXNG,Standalone,2534,2554,2544,2573,done,"confirmed done, verified with af-validate earlier"
sillytavern,SillyTavern,ai,2803,2854,2853,,done,"batch 10 (wave 2) done, 0 errors"
dataline,Dataline,ai,2804,2856,2855,,done,"batch 10 (wave 2) done, 0 errors"
metamcp,MetaMCP,ai,2805,2858,2857,,done,"batch 10 (wave 2) done, 0 errors"
appsmith,Appsmith,low-code,2806,2860,2859,,done,"batch 10 (wave 2) done, 0 errors"
lowcoder,Lowcoder,low-code,2807,2862,2861,,done,"batch 10 (wave 2) done, 0 errors"
onedev,OneDev,developer-tools,2808,2864,2863,,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
novu,Novu,developer-tools,2809,2866,2865,,done,"batch 10 (wave 2) done, 0 errors"
unleash,Unleash,developer-tools,2810,2868,2867,,done,"batch 10 (wave 2) done, 0 errors"
verdaccio,Verdaccio,developer-tools,2811,2870,2869,,done,"batch 10 (wave 2) done, 0 errors"
wiremock,WireMock,developer-tools,2812,2872,2871,,done,"batch 10 (wave 2) done, 0 errors"
mailpit,Mailpit,developer-tools,2813,2874,2873,,done,"batch 10 (wave 2) done, 0 errors"
cyberchef,CyberChef,security,2814,2876,2875,,done,"batch 10 (wave 2) done, 0 errors"
adminer,Adminer,database,2815,2878,2877,,done,"batch 10 (wave 2) done, 0 errors"
dbgate,DbGate,database,2816,2880,2879,,done,"batch 10 (wave 2) done, 0 errors"
pgweb,Pgweb,databases,2817,2882,2881,,done,"no logo found anywhere (repo has zero image assets, confirmed)"
redis-commander,Redis Commander,database,2818,2884,2883,,done,"batch 10 (wave 2) done, 0 errors"
mathesar,Mathesar,database,2819,2886,2885,,done,"batch 10 (wave 2) done, 0 errors"
navidrome,Navidrome,media,2820,2888,2887,,done,"batch 10 (wave 2) done, 0 errors"
ombi,Ombi,media,2821,2890,2889,,done,"batch 10 (wave 2) done, 0 errors"
calibre-web,Calibre-Web,media,2822,2892,2891,,done,"batch 10 (wave 2) done, 0 errors"
handbrake,HandBrake,media,2823,2894,2893,,done,"batch 10 (wave 2) done, 0 errors"
karaoke-eternal,Karaoke Eternal,media,2824,2896,2895,,done,"batch 10 (wave 2) done, 0 errors"
romm,RomM,media,2825,2898,2897,,done,"batch 10 (wave 2) done, 0 errors"
solidinvoice,SolidInvoice,business,2826,2900,2899,,done,"batch 10 (wave 2) done, 0 errors"
invoiceshelf,InvoiceShelf,business,2827,2902,2901,,done,"batch 10 (wave 2) done, 0 errors"
wallos,Wallos,productivity,2828,2904,2903,,done,"batch 10 (wave 2) done, 0 errors"
lnbits,LNbits,finance,2829,2906,2905,,done,"batch 10 (wave 2) done, 0 errors"
glance,Glance,productivity,2830,2908,2907,,done,"batch 10 (wave 2) done, 0 errors"
shaarli,Shaarli,productivity,2831,2910,2909,,done,"batch 10 (wave 2) done, 0 errors"
etherpad,Etherpad,productivity,2832,2912,2911,,done,"batch 10 (wave 2) done, 0 errors"
kanboard,Kanboard,productivity,2833,2914,2913,,done,"batch 10 (wave 2) done, 0 errors"
freshrss,FreshRSS,productivity,2834,2916,2915,,done,"batch 10 (wave 2) done, 0 errors"
radicale,Radicale,productivity,2835,2918,2917,,done,"batch 10 (wave 2) done, 0 errors"
privatebin,PrivateBin,security,2836,2920,2919,,done,"batch 10 (wave 2) done, 0 errors"
dashy,Dashy,dashboard,2837,2922,2921,,done,"batch 10 (wave 2) done, 0 errors"
linkstack,LinkStack,productivity,2838,2924,2923,,done,"batch 10 (wave 2) done, 0 errors"
speedtest-tracker,Speedtest Tracker,monitoring,2839,2926,2925,,done,"batch 10 (wave 2) done, 0 errors"
changedetectionio,changedetection.io,monitoring,2840,2928,2927,,done,"batch 10 (wave 2) done, 0 errors"
fleet,Fleet,security,2841,2930,2929,,done,"batch 10 (wave 2) done, 0 errors"
patchmon,PatchMon,monitoring,2842,2932,2931,,done,"batch 10 (wave 2) done, 0 errors"
yopass,Yopass,security,2843,2934,2933,,done,"batch 10 (wave 2) done, 0 errors"
password-pusher,Password Pusher,security,2844,2936,2935,,done,"batch 10 (wave 2) done, 0 errors"
hemmelig,Hemmelig,security,2845,2938,2937,,done,"batch 10 (wave 2) done, 0 errors"
nats,NATS,messaging,2846,2940,2939,,done,"batch 10 (wave 2) done, 0 errors"
rackula,Rackula,infrastructure,2847,2942,2941,,done,"batch 10 (wave 2) done, 0 errors"
autobrr,autobrr,automation,2848,2944,2943,,done,"batch 10 (wave 2) done, 0 errors"
esphome,ESPHome,automation,2849,2946,2945,,done,"batch 10 (wave 2) done, 0 errors"
wintercms,WinterCMS,cms,2850,2948,2947,,removed_not_mvp_compatible,admin credential has no working delivery mechanism (app hashes plaintext internally) - recipe deleted 2026-08-24
lemmy,Lemmy,social,2851,2950,2949,,done,"batch 10 (wave 2) done, 0 errors"
grocy,Grocy,household,2852,2952,2951,,done,"batch 10 (wave 2) done, 0 errors"
9router,9Router,ai,2953,3046,3045,,done,"final batch done, 0 errors"
adventurelog,AdventureLog,productivity,2954,3048,3047,,done,"final batch done, 0 errors"
apache-answer,Apache Answer,knowledge-base,2955,3050,3049,,done,"final batch done, 0 errors"
apprise-api,Apprise API,notifications,2956,3052,3051,,done,"final batch done, 0 errors"
atlas-cmms,Atlas CMMS,cmms,2957,3054,3053,,done,"final batch done, 0 errors"
beaverhabits,BeaverHabits,productivity,2958,3056,3055,,done,"final batch done, 0 errors"
bentopdf,BentoPDF,productivity,2959,3058,3057,,done,"final batch done, 0 errors"
black-candy,Black Candy,media,2960,3060,3059,,done,"final batch done, 0 errors"
blinko,Blinko,productivity,2961,3062,3061,,done,"final batch done, 0 errors"
chartdb,ChartDB,developer-tools,2962,3064,3063,,done,"final batch done, 0 errors"
chevereto,Chevereto,media,2963,3066,3065,,done,"final batch done, 0 errors"
commafeed,CommaFeed,productivity,2964,3068,3067,,done,"correct logo, hits af-validate hard-ERROR gap (IF-1533)"
coral-talk,Coral Talk,community,2965,3070,3069,,done,"final batch done, 0 errors"
corteza,Corteza,business,2966,3072,3071,,done,"final batch done, 0 errors"
databasus,Databasus,backup,2967,3074,3073,,done,"final batch done, 0 errors"
dawarich,Dawarich,productivity,2968,3076,3075,,done,"final batch done, 0 errors"
dvinyl,DVinyl,media,2969,3078,3077,,done,"final batch done, 0 errors"
elabftw,eLabFTW,productivity,2970,3080,3079,,done,"final batch done, 0 errors"
ersatztv,ErsatzTV,media,2971,3082,3081,,done,"final batch done, 0 errors"
exelearning,eXeLearning,education,2972,3084,3083,,done,"final batch done, 0 errors"
expensave,Expensave,finance,2973,3086,3085,,done,"final batch done, 0 errors"
flatnotes,flatnotes,productivity,2974,3088,3087,,done,"correct logo, hits af-validate hard-ERROR gap (IF-1533)"
formio,Form.io,productivity,2975,3090,3089,,done,"final batch done, 0 errors"
freecad,FreeCAD,productivity,2976,3092,3091,,done,"final batch done, 0 errors"
fusion-rss,Fusion,productivity,2977,3094,3093,,done,"final batch done, 0 errors"
fuxa,FUXA,automation,2978,3096,3095,,done,"final batch done, 0 errors"
gonic,Gonic,media,2979,3098,3097,,done,"final batch done, 0 errors"
gotenberg,Gotenberg,developer-tools,2980,3100,3099,,done,"final batch done, 0 errors"
gowa,GoWA,messaging,2981,3102,3101,,done,"final batch done, 0 errors"
gramps-web,Gramps Web,productivity,2982,3104,3103,,done,"final batch done, 0 errors"
grimmory,Grimmory,media,2983,3106,3105,,done,"final batch done, 0 errors"
hister,Hister,productivity,2984,3108,3107,,done,"final batch done, 0 errors"
homehub,HomeHub,productivity,2985,3110,3109,,done,"final batch done, 0 errors"
jotty,Jotty,productivity,2986,3112,3111,,done,"final batch done, 0 errors"
kafbat-kafka-ui,Kafbat Kafka UI,infrastructure,2987,3114,3113,,done,"final batch done, 0 errors"
kapowarr,Kapowarr,media,2988,3116,3115,,done,"final batch done, 0 errors"
karakeep,Karakeep,productivity,2989,3118,3117,,done,"final batch done, 0 errors"
kitchenowl,KitchenOwl,productivity,2990,3120,3119,,done,"final batch done, 0 errors"
koillection,Koillection,productivity,2991,3122,3121,,done,"final batch done, 0 errors"
kutt,Kutt,productivity,2992,3124,3123,,done,"final batch done, 0 errors"
lakefs,LakeFS,developer-tools,2993,3126,3125,,done,"final batch done, 0 errors"
languagetool,LanguageTool,productivity,2994,3128,3127,,done,"final batch done, 0 errors"
lazylibrarian,LazyLibrarian,media,2995,3130,3129,,done,"final batch done, 0 errors"
librebooking,LibreBooking,scheduling,2996,3132,3131,,done,"final batch done, 0 errors"
libredesk,LibreDesk,productivity,2997,3134,3133,,done,"final batch done, 0 errors"
librespeed,LibreSpeed,networking,2998,3136,3135,,done,"final batch done, 0 errors"
linkace,LinkAce,bookmarks,2999,3138,3137,,done,"final batch done, 0 errors"
livebook,Livebook,developer-tools,3000,3140,3139,,done,"final batch done, 0 errors"
lms,LMS,media,3001,3142,3141,,done,"no logo found anywhere (confirmed, zero assets in repo)"
mail-archiver,Mail-Archiver,productivity,3002,3144,3143,,done,"final batch done, 0 errors"
manyfold,Manyfold,media,3003,3146,3145,,done,"final batch done, 0 errors"
mazanoke,Mazanoke,utilities,3004,3148,3147,,done,"final batch done, 0 errors"
mediago,MediaGo,media,3005,3150,3149,,done,"final batch done, 0 errors"
memgraph,Memgraph,database,3006,3152,3151,,done,"final batch done, 0 errors"
metube,MeTube,media,3007,3154,3153,,done,"final batch done, 0 errors"
microbin,MicroBin,productivity,3008,3156,3155,,done,"correct logo, hits af-validate hard-ERROR gap (IF-1533)"
mini-qr,Mini QR,productivity,3009,3158,3157,,done,"final batch done, 0 errors"
moodist,Moodist,wellness,3010,3160,3159,,done,"correct logo, hits af-validate hard-ERROR gap (IF-1533)"
mqttx,MQTTX,iot,3011,3162,3161,,done,"final batch done, 0 errors"
mstream,mStream,media,3012,3164,3163,,done,"final batch done, 0 errors"
openbudgeteer,OpenBudgeteer,finance,3013,3166,3165,,done,"final batch done, 0 errors"
owntracks-recorder,OwnTracks Recorder,monitoring,3014,3168,3167,,done,"final batch done, 0 errors"
pairdrop,PairDrop,productivity,3015,3170,3169,,done,"final batch done, 0 errors"
papra,Papra,productivity,3016,3172,3171,,done,"final batch done, 0 errors"
pdfding,PdfDing,productivity,3017,3174,3173,,done,"final batch done, 0 errors"
pulse,Pulse,monitoring,3018,3176,3175,,done,"final batch done, 0 errors"
razzia,Razzia,productivity,3019,3178,3177,,removed_not_mvp_compatible,"Task 4 sanity check (#3230) found no delivery channel for MANAGER_PASSWORD (config-file secret, not customer's root password) - recipe deleted 2026-08-24"
reitti,Reitti,productivity,3020,3180,3179,,done,"final batch done, 0 errors"
retroassembly,RetroAssembly,media,3021,3182,3181,,done,"final batch done, 0 errors"
saltcorn,Saltcorn,productivity,3022,3184,3183,,done,"final batch done, 0 errors"
shlink,Shlink,productivity,3023,3186,3185,,done,"final batch done, 0 errors"
silex,Silex,productivity,3024,3188,3187,,done,"final batch done, 0 errors"
spliit,Spliit,finance,3025,3190,3189,,done,"final batch done, 0 errors"
spoolman,Spoolman,utilities,3026,3192,3191,,done,"final batch done, 0 errors"
sqlpage,SQLPage,developer-tools,3027,3194,3193,,done,"final batch done, 0 errors"
taxhacker,TaxHacker,productivity,3028,3196,3195,,done,"final batch done, 0 errors"
teammapper,TeamMapper,productivity,3029,3198,3197,,done,"final batch done, 0 errors"
the-lounge,The Lounge,communication,3030,3200,3199,,done,"final batch done, 0 errors"
timetagger,TimeTagger,productivity,3031,3202,3201,,done,"final batch done, 0 errors"
tracearr,Tracearr,media,3032,3204,3203,,done,"final batch done, 0 errors"
traggo,Traggo,productivity,3033,3206,3205,,done,"final batch done, 0 errors"
tubesync,TubeSync,media,3034,3208,3207,,done,"final batch done, 0 errors"
tududi,Tududi,productivity,3035,3210,3209,,removed_not_mvp_compatible,"Task 4 sanity check (#3229) found TUDUDI_USER_PASSWORD ships with an empty admin password - app hashes plaintext internally, generated_from can't cover it - recipe deleted 2026-08-24"
tunarr,Tunarr,media,3036,3212,3211,,done,"final batch done, 0 errors"
unstructured,Unstructured,ai-ml,3037,3214,3213,,done,"final batch done, 0 errors"
usertour,Usertour,productivity,3038,3216,3215,,done,"final batch done, 0 errors"
web-check,Web-Check,security,3039,3218,3217,,done,"final batch done, 0 errors"
whodb,WhoDB,database,3040,3220,3219,,done,"final batch done, 0 errors"
xibo-cms,Xibo CMS,digital-signage,3041,3222,3221,,done,"correct logo, hits af-validate hard-ERROR gap (IF-1533)"
yamtrack,Yamtrack,media,3042,3224,3223,,done,"final batch done, 0 errors"
yuvomi,Yuvomi,productivity,3043,3226,3225,,done,"final batch done, 0 errors"
zipline,Zipline,file-sharing,3044,3228,3227,,done,"final batch done, 0 errors"
