slug,task1_issue,task1_cost_usd,task1_iterations,task2_issue,task2_cost_usd,task2_iterations,task3_issue,task3_cost_usd,task3_iterations,task3b_issue,task3b_cost_usd,task3b_iterations,total_cost_usd,total_iterations,pipeline_status
aureuserp,2659,1.0705,2,2672,1.217,2,2671,0.5848,2,,0,0,2.8723,6,done
bigcapital,2687,0.3506,2,2693,0.3097,2,2692,0.9449,2,,0,0,1.6053,6,done
odoo,2616,1.1582,2,2637,0.3986,2,2636,0.7521,2,,0,0,2.3089,6,done
budibase,2727,0.9451,2,2785,0.9898,2,2784,0.8303,2,,0,0,2.7652,6,done
dify,2582,1.1968,2,2592,0.4769,2,2587,1.4479,4,,0,0,3.1216,8,done
docuseal,2728,0.9941,4,2787,0.3559,2,2786,0.7397,2,,0,0,2.0897,8,done
ghost,2497,1.5258,2,2517,0.5984,2,2507,0.3491,1,2575,0.4916,2,2.9649,7,done
jenkins,2535,1.0543,2,2555,2.1806,4,2545,0.6357,1,2574,0.3893,2,4.2598,9,done
krayin-crm,2729,1.1565,2,2789,1.1867,2,2788,0.6659,2,,0,0,3.0091,6,done
onetimesecret,2730,0.8131,2,2791,1.158,2,2790,1.1737,2,,0,0,3.1449,6,done
owncloud,2611,1.5061,2,2627,2.0209,2,2626,0.8375,2,,0,0,4.3645,6,done
oxicloud,2731,1.1783,2,2793,1.0386,2,2792,0.8389,2,,0,0,3.0559,6,done
postiz,2732,0.7696,2,2795,0.3179,2,2794,0.5873,2,,0,0,1.6748,6,done
rustdesk,2733,0.6677,2,2797,0.3194,2,2796,0.5178,2,,0,0,1.505,6,done
searxng,2534,1.2299,2,2554,1.3103,2,2544,0.4226,1,2573,0.7335,2,3.6962,7,done
sillytavern,2803,0.8491,2,2854,1.0161,2,2853,0.2976,2,,0,0,2.1628,6,done
dataline,2804,0.8801,2,2856,0.8513,2,2855,0.3058,2,,0,0,2.0372,6,done
metamcp,2805,0.594,2,2858,1.2652,2,2857,0.6163,2,,0,0,2.4756,6,done
appsmith,2806,0.8288,2,2860,1.1926,2,2859,1.4176,2,,0,0,3.4389,6,done
lowcoder,2807,0.9027,2,2862,0.9337,2,2861,0.5838,2,,0,0,2.4202,6,done
onedev,2808,0.9879,2,2864,0.37,2,2863,0.6669,2,,0,0,2.0248,6,done
novu,2809,1.0262,2,2866,0.5623,2,2865,0.6235,2,,0,0,2.212,6,done
unleash,2810,0.7694,2,2868,0.9907,2,2867,0.6395,2,,0,0,2.3996,6,done
verdaccio,2811,0.757,2,2870,1.1231,2,2869,0.7846,2,,0,0,2.6646,6,done
wiremock,2812,0.6747,2,2872,0.3881,2,2871,1.172,2,,0,0,2.2348,6,done
mailpit,2813,0.8568,2,2874,1.1914,2,2873,0.6213,2,,0,0,2.6695,6,done
cyberchef,2814,0.4016,2,2876,0.8021,2,2875,0.6505,2,,0,0,1.8541,6,done
adminer,2815,0.804,2,2878,0.5035,2,2877,0.5067,2,,0,0,1.8142,6,done
dbgate,2816,0.3704,2,2880,0.2845,2,2879,0.6974,2,,0,0,1.3523,6,done
pgweb,2817,0.3826,2,2882,0.7938,2,2881,0.693,5,,0,0,1.8695,9,done
redis-commander,2818,1.2125,4,2884,0.7425,2,2883,1.1955,2,,0,0,3.1505,8,done
mathesar,2819,0.5084,2,2886,0.8154,4,2885,0.5496,2,,0,0,1.8734,8,done
navidrome,2820,0.8604,2,2888,0.6819,2,2887,0.7094,2,,0,0,2.2517,6,done
ombi,2821,0.6378,2,2890,0.6473,2,2889,0.6244,2,,0,0,1.9095,6,done
calibre-web,2822,0.9267,2,2892,0.9081,2,2891,0.5975,2,,0,0,2.4323,6,done
handbrake,2823,0.8544,2,2894,0.7535,2,2893,0.6858,2,,0,0,2.2937,6,done
karaoke-eternal,2824,0.5528,2,2896,0.8224,2,2895,0.8761,2,,0,0,2.2513,6,done
romm,2825,0.9544,2,2898,0.8054,2,2897,0.5692,2,,0,0,2.329,6,done
solidinvoice,2826,0.9579,2,2900,1.1243,4,2899,0.9335,2,,0,0,3.0156,8,done
invoiceshelf,2827,1.222,4,2902,0.8671,2,2901,0.8081,2,,0,0,2.8972,8,done
wallos,2828,0.8037,2,2904,0.4147,2,2903,0.6985,2,,0,0,1.9169,6,done
lnbits,2829,0.5956,2,2906,1.2164,2,2905,0.5566,2,,0,0,2.3685,6,done
glance,2830,0.9302,2,2908,0.5137,2,2907,0.6606,2,,0,0,2.1045,6,done
shaarli,2831,0.7835,2,2910,0.8463,2,2909,0.5172,2,,0,0,2.147,6,done
etherpad,2832,0.8341,2,2912,0.8183,2,2911,0.5656,2,,0,0,2.2181,6,done
kanboard,2833,0.8366,2,2914,0.8156,2,2913,0.6674,2,,0,0,2.3196,6,done
freshrss,2834,0.6836,2,2916,0.8033,2,2915,0.6598,2,,0,0,2.1467,6,done
radicale,2835,0.9264,2,2918,0.9814,2,2917,0.1977,2,,0,0,2.1055,6,done
privatebin,2836,0.7815,2,2920,1.0005,2,2919,0.8352,2,,0,0,2.6173,6,done
dashy,2837,0.8096,2,2922,0.87,2,2921,4.1295,4,,0,0,5.8091,8,done
linkstack,2838,0.8726,2,2924,1.0661,2,2923,0.9442,2,,0,0,2.8829,6,done
speedtest-tracker,2839,1.0281,2,2926,1.1749,2,2925,0.8828,2,,0,0,3.0858,6,done
changedetectionio,2840,0.7419,2,2928,0.7751,2,2927,0.7741,2,,0,0,2.291,6,done
fleet,2841,1.1382,2,2930,1.167,2,2929,1.2742,2,,0,0,3.5794,6,done
patchmon,2842,1.3229,2,2932,1.4545,2,2931,0.5983,2,,0,0,3.3756,6,done
yopass,2843,0.3487,2,2934,0.5629,2,2933,0.5374,2,,0,0,1.4489,6,done
password-pusher,2844,1.1582,2,2936,0.7462,2,2935,0.5351,2,,0,0,2.4396,6,done
hemmelig,2845,0.8398,2,2938,0.9932,2,2937,0.833,2,,0,0,2.666,6,done
nats,2846,0.8501,2,2940,1.2128,2,2939,0.7177,2,,0,0,2.7806,6,done
rackula,2847,1.0087,2,2942,0.392,2,2941,0.5782,2,,0,0,1.9789,6,done
autobrr,2848,0.5849,2,2944,0.7474,2,2943,0.4685,2,,0,0,1.8008,6,done
esphome,2849,0.7692,2,2946,0.7622,2,2945,0.5889,2,,0,0,2.1203,6,done
wintercms,2850,0.9997,2,2948,0.3911,2,2947,0.7274,2,,0,0,2.1183,6,done
lemmy,2851,1.6385,4,2950,0.4578,2,2949,0.5787,2,,0,0,2.675,8,done
grocy,2852,0.3841,2,2952,0.3755,2,2951,0.2283,2,,0,0,0.9879,6,done
9router,2953,0.9901,2,3046,0.9992,2,3045,0.6652,2,,0,0,2.6546,6,done
adventurelog,2954,1.1294,2,3048,0.8742,2,3047,0.6772,2,,0,0,2.6808,6,done
apache-answer,2955,1.1904,4,3050,0.8083,2,3049,0.5658,2,,0,0,2.5644,8,done
apprise-api,2956,0.9213,2,3052,0.7669,2,3051,0.7421,2,,0,0,2.4303,6,done
atlas-cmms,2957,0.9723,2,3054,1.3476,2,3053,1.0476,2,,0,0,3.3675,6,done
beaverhabits,2958,0.841,2,3056,0.7532,2,3055,0.7383,2,,0,0,2.3325,6,done
bentopdf,2959,0.9228,2,3058,0.9468,2,3057,0.6527,2,,0,0,2.5223,6,done
black-candy,2960,1.0647,2,3060,0.2895,2,3059,0.6148,2,,0,0,1.9691,6,done
blinko,2961,0.731,2,3062,0.9579,2,3061,0.602,2,,0,0,2.2909,6,done
chartdb,2962,0.8199,2,3064,1.1493,2,3063,2.3798,4,,0,0,4.349,8,done
chevereto,2963,1.0139,2,3066,0.8428,2,3065,0.6292,2,,0,0,2.486,6,done
commafeed,2964,1.0238,2,3068,0.9509,2,3067,0.5802,2,,0,0,2.5548,6,done
coral-talk,2965,1.2397,2,3070,1.0301,2,3069,1.0305,2,,0,0,3.3003,6,done
corteza,2966,0.964,2,3072,0.9855,2,3071,0.5094,2,,0,0,2.4589,6,done
databasus,2967,0.8362,2,3074,1.0794,2,3073,0.721,2,,0,0,2.6366,6,done
dawarich,2968,0.7526,2,3076,0.9855,2,3075,0.6476,2,,0,0,2.3857,6,done
dvinyl,2969,1.0753,2,3078,1.3379,2,3077,0.3832,2,,0,0,2.7965,6,done
elabftw,2970,1.0107,2,3080,0.7509,2,3079,0.598,2,,0,0,2.3595,6,done
ersatztv,2971,0.8612,2,3082,0.8609,2,3081,1.4166,2,,0,0,3.1387,6,done
exelearning,2972,1.2352,4,3084,1.5251,4,3083,0.5233,2,,0,0,3.2837,10,done
expensave,2973,0.857,2,3086,0.9827,2,3085,0.2801,2,,0,0,2.1197,6,done
flatnotes,2974,0.763,2,3088,0.8223,2,3087,0.7432,2,,0,0,2.3285,6,done
formio,2975,1.0657,2,3090,0.3124,2,3089,0.2506,2,,0,0,1.6288,6,done
freecad,2976,0.8621,2,3092,0.3354,2,3091,0.7666,2,,0,0,1.9641,6,done
fusion-rss,2977,0.9546,2,3094,0.9121,2,3093,0.854,2,,0,0,2.7207,6,done
fuxa,2978,0.938,2,3096,1.1173,2,3095,0.6769,2,,0,0,2.7322,6,done
gonic,2979,0.6416,2,3098,1.25,2,3097,0.8257,2,,0,0,2.7174,6,done
gotenberg,2980,0.5958,2,3100,0.9109,2,3099,0.6322,2,,0,0,2.1389,6,done
gowa,2981,0.6531,2,3102,0.871,2,3101,1.2259,2,,0,0,2.75,6,done
gramps-web,2982,0.848,2,3104,0.9988,2,3103,0.7542,2,,0,0,2.601,6,done
grimmory,2983,0.7504,2,3106,0.9694,2,3105,0.275,2,,0,0,1.9947,6,done
hister,2984,0.8761,2,3108,0.4276,2,3107,0.6177,2,,0,0,1.9214,6,done
homehub,2985,0.4089,2,3110,1.2078,2,3109,0.6788,2,,0,0,2.2955,6,done
jotty,2986,0.7343,2,3112,0.9756,2,3111,0.8413,2,,0,0,2.5512,6,done
kafbat-kafka-ui,2987,0.9674,2,3114,0.8366,2,3113,0.641,2,,0,0,2.445,6,done
kapowarr,2988,0.825,2,3116,0.8316,2,3115,0.6814,2,,0,0,2.3379,6,done
karakeep,2989,0.7635,2,3118,0.8462,2,3117,0.8706,2,,0,0,2.4803,6,done
kitchenowl,2990,0.8909,2,3120,1.0086,2,3119,2.3743,4,,0,0,4.2738,8,done
koillection,2991,0.8196,2,3122,0.9477,2,3121,0.6945,2,,0,0,2.4618,6,done
kutt,2992,1.2005,4,3124,0.7058,2,3123,0.6839,2,,0,0,2.5903,8,done
lakefs,2993,1.3202,4,3126,0.7817,2,3125,0.7103,2,,0,0,2.8122,8,done
languagetool,2994,0.8515,2,3128,0.888,2,3127,0.5175,2,,0,0,2.2571,6,done
lazylibrarian,2995,0.7883,2,3130,0.8106,2,3129,0.8423,2,,0,0,2.4413,6,done
librebooking,2996,1.1095,2,3132,1.5801,2,3131,1.4146,2,,0,0,4.1042,6,done
libredesk,2997,0.4491,2,3134,0.5198,2,3133,1.1765,2,,0,0,2.1454,6,done
librespeed,2998,0.8114,2,3136,0.4207,2,3135,0.7155,2,,0,0,1.9477,6,done
linkace,2999,1.5936,4,3138,1.7159,2,3137,0.5701,2,,0,0,3.8796,8,done
livebook,3000,0.9123,2,3140,0.7528,2,3139,0.5326,2,,0,0,2.1977,6,done
lms,3001,0.7284,2,3142,1.3884,4,3141,1.1062,2,,0,0,3.223,8,done
mail-archiver,3002,0.9214,2,3144,0.8388,2,3143,0.758,2,,0,0,2.5182,6,done
manyfold,3003,1.0213,2,3146,0.9177,2,3145,0.6663,2,,0,0,2.6053,6,done
mazanoke,3004,0.7273,2,3148,0.826,2,3147,0.5779,2,,0,0,2.1311,6,done
mediago,3005,0.8431,2,3150,0.7578,2,3149,0.7124,2,,0,0,2.3133,6,done
memgraph,3006,0.3864,2,3152,0.3813,2,3151,0.8476,2,,0,0,1.6154,6,done
metube,3007,0.6035,2,3154,0.8378,2,3153,0.6414,2,,0,0,2.0827,6,done
microbin,3008,0.6737,2,3156,0.9589,2,3155,0.9753,2,,0,0,2.608,6,done
mini-qr,3009,0.734,2,3158,0.2797,2,3157,0.6435,2,,0,0,1.6573,6,done
moodist,3010,0.747,2,3160,0.7305,2,3159,0.7018,2,,0,0,2.1793,6,done
mqttx,3011,0.7343,2,3162,0.8606,2,3161,0.564,2,,0,0,2.1588,6,done
mstream,3012,0.6684,2,3164,0.3233,2,3163,0.5996,2,,0,0,1.5912,6,done
openbudgeteer,3013,1.0017,2,3166,0.9804,2,3165,0.7745,2,,0,0,2.7566,6,done
owntracks-recorder,3014,0.5052,2,3168,0.9102,2,3167,1.3312,2,,0,0,2.7466,6,done
pairdrop,3015,0.93,2,3170,0.2957,2,3169,0.6922,2,,0,0,1.918,6,done
papra,3016,1.0835,2,3172,1.1317,2,3171,0.8778,2,,0,0,3.0929,6,done
pdfding,3017,0.9226,2,3174,0.8194,2,3173,0.5493,2,,0,0,2.2913,6,done
pulse,3018,0.8077,2,3176,1.5415,4,3175,0.713,2,,0,0,3.0622,8,done
razzia,3019,0.8319,2,3178,1.0222,2,3177,0.2143,2,,0,0,2.0683,6,done
reitti,3020,0.8598,2,3180,0.9742,2,3179,0.5732,2,,0,0,2.4071,6,done
retroassembly,3021,0.6172,2,3182,0.8054,2,3181,0.6701,2,,0,0,2.0928,6,done
saltcorn,3022,0.795,2,3184,0.9267,2,3183,0.498,2,,0,0,2.2197,6,done
shlink,3023,0.8416,4,3186,1.0471,4,3185,0.5406,2,,0,0,2.4293,10,done
silex,3024,0.8149,2,3188,0.9719,2,3187,0.6175,2,,0,0,2.4043,6,done
spliit,3025,0.9026,2,3190,0.2914,2,3189,0.5749,2,,0,0,1.7689,6,done
spoolman,3026,0.6837,2,3192,0.8614,2,3191,0.6313,2,,0,0,2.1763,6,done
sqlpage,3027,0.8707,2,3194,0.9071,2,3193,0.7859,2,,0,0,2.5637,6,done
taxhacker,3028,0.8065,2,3196,1.2917,2,3195,0.8297,2,,0,0,2.9279,6,done
teammapper,3029,0.9482,2,3198,0.9891,2,3197,0.7456,2,,0,0,2.6829,6,done
the-lounge,3030,0.8393,2,3200,1.1229,2,3199,0.668,2,,0,0,2.6302,6,done
timetagger,3031,1.0263,2,3202,1.3257,2,3201,0.5659,2,,0,0,2.9178,6,done
tracearr,3032,1.0561,2,3204,0.852,2,3203,0.5676,2,,0,0,2.4756,6,done
traggo,3033,0.9645,2,3206,0.978,2,3205,0.7008,2,,0,0,2.6433,6,done
tubesync,3034,0.7673,2,3208,0.906,2,3207,0.6467,2,,0,0,2.32,6,done
tududi,3035,2.624,4,3210,0.3536,2,3209,0.8634,2,,0,0,3.8411,8,done
tunarr,3036,0.894,2,3212,0.7026,2,3211,0.5789,2,,0,0,2.1755,6,done
unstructured,3037,0.5515,2,3214,0.7687,2,3213,1.9356,4,,0,0,3.2559,8,done
usertour,3038,0.9862,2,3216,1.0382,2,3215,0.6059,2,,0,0,2.6303,6,done
web-check,3039,0.7848,2,3218,0.4062,2,3217,0.8266,2,,0,0,2.0177,6,done
whodb,3040,0.607,2,3220,0.3862,2,3219,0.5319,2,,0,0,1.5251,6,done
xibo-cms,3041,0.982,2,3222,1.7673,4,3221,1.0768,2,,0,0,3.8261,8,done
yamtrack,3042,0.9611,2,3224,0.2934,2,3223,0.6577,2,,0,0,1.9123,6,done
yuvomi,3043,0.7142,2,3226,0.8397,2,3225,0.6622,2,,0,0,2.2161,6,done
zipline,3044,0.366,2,3228,0.3784,2,3227,0.2526,2,,0,0,0.997,6,done
