slug,name,description,cluster
grist,Grist,Open-source spreadsheet-database hybrid for building data applications,Standalone
drawio,draw.io,"Free open-source diagramming tool for flowcharts, UML, and network diagrams",Standalone
erugo,Erugo,Self-hosted file-sharing platform with password protection and expiry controls,Standalone
flagsmith,Flagsmith,Open-source feature flag and remote config service with A/B testing,Standalone
glpi,GLPI,Open-source IT asset management and help desk software for IT operations,Standalone
hedgedoc,HedgeDoc,Real-time collaborative markdown editor for team documentation,Standalone
hievents,Hi.Events,Open-source self-hosted event management and ticketing platform,Standalone
homarr,Homarr,Modern self-hosted dashboard to organize and monitor all your services,Standalone
infisical,Infisical,Open-source secrets manager for syncing env vars and API keys across teams and infrastructure,Standalone
listmonk,Listmonk,High-performance self-hosted newsletter and mailing list manager,Standalone
donetick,Donetick,Collaborative task management for household chores and recurring responsibilities,Standalone
mealie,Mealie,Self-hosted recipe manager with meal planning and shopping lists,Standalone
opencloud,OpenCloud,Open-source file sync and collaboration with built-in identity management,Storage
open-notebook,Open Notebook,"AI-native notebook app for writing, researching, and organizing knowledge in one workspace",Notebook/dev env
openpanel,OpenPanel,Privacy-first product analytics with real-time dashboards and session replay,Standalone
openproject,OpenProject,"Open-source project management with Gantt charts, Agile boards, time tracking",Kanban-adjacent
plik,Plik,Scalable self-hosted temporary file sharing service like WeTransfer,Standalone
sure,Sure,Self-hosted personal finance app for net worth and investment tracking,Finance
wealthfolio,Wealthfolio,"Personal finance tracker for investments, net worth, and portfolio analytics",Finance
sftpgo,SFTPGo,"Full-featured SFTP, FTP, and WebDAV server with web-based administration",Storage
vikunja,Vikunja,"Open-source, self-hostable to-do app with multiple views and collaboration",Kanban
redmine,Redmine,Flexible project management and issue tracking platform used by thousands of organizations,Kanban
redaxo,REDAXO,Flexible open-source PHP CMS with full control over website output code,CMS
strapi,Strapi,Open-source headless CMS for building customizable APIs and content management,CMS
squidex,Squidex,"Open-source headless CMS with GraphQL, REST APIs, and content schemas",CMS
radarr,Radarr,Automated movie collection manager and organizer for Usenet and torrents,Media library
sonarr,Sonarr,Automated TV show collection manager and organizer for Usenet and torrents,Media library
qbittorrent,qBittorrent,qBittorrent is a media BitTorrent client for automated downloads.,Media library
watcharr,Watcharr,"Self-hosted watched list for movies, TV shows, anime, and video games",Media library
plausible-analytics,Plausible Analytics,"Plausible is a lightweight, privacy-first Google Analytics alternative",Analytics
umami-analytics,Umami Analytics,"Umami is a simple, fast, privacy-focused alternative to Google Analytics",Analytics
penpot,Penpot,Penpot is an open-source design platform for UI/UX collaboration,Standalone
tandoor-recipes,Tandoor Recipes,Self-hosted recipe manager with meal planning and shopping lists,Standalone
stirling-pdf,Stirling PDF,Powerful locally hosted web-based PDF manipulation tool,Standalone
snapotter,SnapOtter,Self-hosted image processing suite with 55+ tools and local AI,Standalone
reactive-resume,Reactive Resume,Privacy-first open-source resume builder with 14+ templates and PDF export,Standalone
readeck,Readeck,Self-hosted read-it-later app that archives readable web content forever,Standalone
silverbullet,SilverBullet,Self-hosted Markdown note-taking with live queries and plugin system,Standalone
siyuan,SiYuan,SiYuan is a privacy-first personal knowledge management system,Standalone
teable,Teable,Open-source Airtable alternative with a visual interface built on PostgreSQL,Standalone
twenty,Twenty,"Twenty is a modern, customizable CRM designed to fit unique business needs",Standalone
wbo,WBO,Real-time collaborative whiteboard for team brainstorming and remote meetings,Standalone
wikijs,Wiki.js,"Wiki.js is a modern, powerful and extensible wiki platform for documentation",Standalone
wordpress,WordPress,WordPress is the world's most popular website builder and CMS,CMS
yucca,Yucca,Simple NVR video surveillance solution for home and business,Standalone
zabbix,Zabbix,"Enterprise open-source monitoring for networks, servers, and applications",Monitoring
an-otter-wiki,An Otter Wiki,Lightweight self-hosted wiki with Git-backed pages and Markdown editing,Wiki
bookstack,BookStack,"Structured self-hosted wiki for teams with books, chapters, pages, and search",Wiki
docmost,Docmost,Collaborative wiki and documentation platform with real-time editing,Wiki
grav,Grav,"Modern flat-file CMS that requires no database, just files and folders",Wiki
aureuserp,AureusERP,"Open-source ERP platform covering finance, HR, inventory, sales, and CRM",Finance-adjacent (ERP)
bigcapital,Bigcapital,Self-hosted financial accounting platform with intelligent reporting and multi-currency support,Finance-adjacent (ERP)
odoo,Odoo,Open-source ERP and CRM platform for business management and e-commerce,Finance-adjacent (ERP)
budibase,Budibase,Low-code platform for building business apps and workflows in minutes,Standalone
dify,Dify,"Open-source platform for building LLM applications with RAG, agents, and workflows",AI tooling
docuseal,DocuSeal,Open-source document signing platform with e-signature capabilities,Standalone
ghost,Ghost,Ghost is a powerful platform for professional publishing,CMS
jenkins,Jenkins,Jenkins is an open-source automation server for CI/CD pipelines,Standalone
krayin-crm,Krayin CRM,"Open-source Laravel CRM for leads, pipelines, quotes, and contact management",Standalone
onetimesecret,OneTimeSecret,Share self-destructing secrets through one-time-view links,Standalone
owncloud,ownCloud,"Self-hosted file sync, sharing, and collaboration platform for teams",Storage
oxicloud,OxiCloud,Lightweight Rust-based self-hosted cloud storage with Nextcloud client support,Storage
postiz,Postiz,Open-source social media scheduling platform with AI-powered content creation,Standalone
rustdesk,RustDesk,RustDesk is an open-source remote desktop software for secure remote access,Standalone
searxng,SearXNG,Privacy-respecting metasearch engine aggregating results from multiple sources,Standalone
